Wages,LOS,Size
48.3355,94,Large
49.0279,48,Small
40.8817,102,Small
36.5854,20,Small
46.7596,60,Large
59.5238,78,Small
39.1304,45,Large
39.2465,39,Large
40.2037,20,Large
38.1563,65,Small
50.0905,76,Large
46.9043,48,Small
43.1894,61,Small
60.5637,30,Large
97.6801,70,Large
48.5795,108,Large
67.1551,61,Large
38.7847,10,Small
51.8926,68,Large
51.8326,54,Large
64.1026,24,Large
54.9451,222,Small
43.8095,58,Large
43.3455,41,Small
61.9893,153,Large
40.0183,16,Small
50.7143,43,Small
48.84,96,Large
34.3407,98,Large
80.5861,150,Large
33.7163,124,Small
60.3792,60,Large
48.84,7,Large
38.5579,22,Small
39.276,57,Large
47.6564,78,Large
44.6864,36,Large
44.57875,83,Small
65.6288,66,Large
33.5775,47,Small
41.2088,97,Small
67.9096,228,Small
43.0942,27,Large
40.7,48,Small
40.5748,7,Large
39.6825,74,Small
50.1742,204,Large
54.9451,24,Large
32.3822,13,Small
51.713,30,Large
55.8379,95,Large
54.9451,104,Large
70.2786,34,Large
57.2344,184,Small
54.1126,156,Small
39.8687,25,Large
27.4725,43,Small
67.9584,36,Large
44.9317,60,Small
51.5612,102,Large
